CDIVLS,URBRURS,WKTIME,MILEBIN,AVGDIST,NRAW,NWTD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ENC,RUR,WEEKEND,30-50,38.629740458,131.0,88718140.3857,51376.8639273,212163.982298,13021.1746689,0.0,442810.351287,3589845.63673,1841682.85181,3563612.06829,6019099.09161,4678862.20618,7710938.46941,6972486.55346,5801394.225,6759324.32816,5600587.02358,4381798.22195,6207911.98658,4012444.70661,9064401.81655,6773708.565,2625641.40189,1208128.84219,818025.544685,368874.473792
ENC,RUR,WEEKEND,50-100,69.3543571429,112.0,37811397.785,730682.121729,32833.7319474,0.0,0.0,262980.234161,297752.751527,659535.981308,2300066.5247,2760628.42778,4468647.11894,3082996.19509,1795276.34917,1355748.01276,2872603.00635,2277920.6772,2477453.395,1742635.13889,1892865.39903,3032856.72689,2751519.77824,765368.480705,1726628.90033,491721.971019,32676.8622083
ENC,RUR,WEEKEND,100-300,155.181304348,46.0,24265626.3814,94146.0128271,0.0,0.0,117449.456753,49100.1911395,176648.179011,518236.219588,645610.401045,1818599.30646,2033988.585,2023674.98989,1240513.67394,4893643.343,737293.876895,2300314.1668,1928326.43353,2336175.14062,692190.619067,483225.824141,1007985.61041,1049059.06326,77132.3157805,10246.8478481,32066.1244031
ENC,URB,WEEKDAY,0-2,1.08910672722,14092.0,5963335737.85,7824853.72301,3477454.19401,1053122.54404,3615794.13076,18402514.504,59824572.1737,178900996.731,481882804.294,429436249.699,359706579.111,395181410.426,476476462.6,503263378.592,442537562.984,452979773.383,502471109.252,458059665.929,440877109.531,292036352.464,185466398.726,139012936.638,79431160.1846,36102920.2591,15314555.7776
ENC,URB,WEEKDAY,2-5,3.25144097249,13121.0,5676271998.65,10134163.1696,4671746.25962,1692553.97155,1258962.26756,19781374.9263,84854807.8672,215541384.578,481157790.772,381241822.094,337071566.456,330756355.801,405419536.262,417680473.177,372178732.974,433072259.824,432517821.128,508595847.643,453531739.268,297459933.534,205264118.786,141595321.257,79674287.9242,48047062.6374,13072336.0753
ENC,URB,WEEKDAY,5-10,7.09108196721,7564.0,3573772143.18,12523548.6641,4648784.08748,3433158.64597,1661922.29366,29726649.9378,80064406.1701,186776760.515,346884486.622,251479534.859,198314866.745,188228469.641,198575568.476,209965601.957,206341942.805,242298252.529,295051907.95,333808927.642,302828418.39,165756088.155,109200139.268,87340763.6815,63213172.1283,38673332.4954,16975439.5228
ENC,URB,WEEKDAY,10-20,13.9942604186,5399.0,2630689377.58,4160166.24719,4067464.6321,3255639.60738,1517421.12117,34399338.3763,86020968.737,225616042.99,277866187.151,189920378.73,121233379.239,103654970.118,123055606.563,120578531.912,130444195.364,169890773.967,224011143.469,275106064.362,213367044.891,108726758.381,72599009.2681,54593189.068,41529541.4012,32867066.2623,12208495.7202
ENC,URB,WEEKDAY,20-30,24.1618242775,1730.0,891103447.061,2071523.29321,1861359.80286,456510.562637,959688.51264,21841131.4696,48922064.5025,89422940.9064,99344320.0505,53496632.551,28257149.5084,28797791.0366,28776917.0707,34742643.7278,34618018.2081,47875555.2827,83488832.4497,102784957.645,75905302.3054,34406520.7329,26060112.4635,18276172.7315,13206966.0274,10838199.9535,4692136.26663
ENC,URB,WEEKDAY,30-50,37.7061272727,1155.0,565026528.249,2042137.34203,3708843.70507,426789.884217,648125.983381,18131059.414,34633374.4116,54008505.3005,43020013.5033,33776895.785,20477708.3646,25997040.2976,19207695.9133,22428906.8391,30084955.6256,37164302.913,45549780.7625,63456568.2374,50528576.9547,20496055.1032,12125812.7033,9029347.12244,9162448.33353,5947814.83217,2973768.91759
ENC,URB,WEEKDAY,50-100,68.9449386503,489.0,155414153.78,474310.624609,225587.132785,221931.303523,399146.024239,5456093.10505,9532771.62603,11320545.9072,11352725.1759,9984154.83888,7999725.22347,8340469.10717,9633250.5338,9978597.11064,10968828.8914,8832127.91419,12245097.5263,13819210.7886,10864488.8916,4650738.04862,3701466.6594,1551472.22495,1117468.51911,2182099.75089,561846.851658
